#TYPE System.Diagnostics.Eventing.Reader.EventLogRecord
"Message","Id","Version","Qualifiers","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","ContainerLog","MatchedQueryIds","Bookmark","LevelDisplayName","OpcodeDisplayName","TaskDisplayName","KeywordsDisplayNames","Properties"
"Exe: C:\Program Files (x86)\GeoGebra 5.0\GeoGebra.exe

ResolverName: DetectorShim_Win32Exception","17","0",,"4","0","0","4611686018427387904","29","Microsoft-Windows-Program-Compatibility-Assistant","4cb314df-c11f-47d7-9c04-65fb0051561b","Microsoft-Windows-Application-Experience/Program-Compatibility-Assistant","496","1168","LAB-109-029.esamcuberlandia.com.br","S-1-5-18","11/08/2017 21:05:02",,,"c:\users\rafae\desktop\log_win_10\logs1\microsoft-windows-application-experience%4program-compatibility-assistant.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Informa??es","Informa??es",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Exe: C:\Program Files (x86)\CodeBlocks\codeblocks.exe

ResolverName: CrashOnLaunch","17","0",,"4","0","0","4611686018427387904","28","Microsoft-Windows-Program-Compatibility-Assistant","4cb314df-c11f-47d7-9c04-65fb0051561b","Microsoft-Windows-Application-Experience/Program-Compatibility-Assistant","508","5412","LAB-109-029.esamcuberlandia.com.br","S-1-5-18","28/04/2017 08:17:53",,,"c:\users\rafae\desktop\log_win_10\logs1\microsoft-windows-application-experience%4program-compatibility-assistant.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Informa??es","Informa??es",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Exe: C:\HP 50G\Emu48.exe

ResolverName: DetectorShim_PrivilegeCheck","17","0",,"4","0","0","4611686018427387904","27","Microsoft-Windows-Program-Compatibility-Assistant","4cb314df-c11f-47d7-9c04-65fb0051561b","Microsoft-Windows-Application-Experience/Program-Compatibility-Assistant","508","5848","LAB-109-029.esamcuberlandia.com.br","S-1-5-18","27/04/2017 21:06:26",,,"c:\users\rafae\desktop\log_win_10\logs1\microsoft-windows-application-experience%4program-compatibility-assistant.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Informa??es","Informa??es",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Exe: C:\HP 50G\Emu48.exe

ResolverName: DetectorShim_AccessDenied","17","0",,"4","0","0","4611686018427387904","26","Microsoft-Windows-Program-Compatibility-Assistant","4cb314df-c11f-47d7-9c04-65fb0051561b","Microsoft-Windows-Application-Experience/Program-Compatibility-Assistant","508","5848","LAB-109-029.esamcuberlandia.com.br","S-1-5-18","27/04/2017 21:06:23",,,"c:\users\rafae\desktop\log_win_10\logs1\microsoft-windows-application-experience%4program-compatibility-assistant.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Informa??es","Informa??es",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Exe: C:\Program Files\Autodesk\AutoCAD 2016\acad.exe

ResolverName: UnhandledException","17","0",,"4","0","0","4611686018427387904","25","Microsoft-Windows-Program-Compatibility-Assistant","4cb314df-c11f-47d7-9c04-65fb0051561b","Microsoft-Windows-Application-Experience/Program-Compatibility-Assistant","844","9268","LAB-109-029.esamcuberlandia.com.br","S-1-5-18","11/04/2017 09:36:14",,,"c:\users\rafae\desktop\log_win_10\logs1\microsoft-windows-application-experience%4program-compatibility-assistant.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Informa??es","Informa??es",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Exe: C:\Program Files\Autodesk\AutoCAD 2016\acad.exe

ResolverName: UnhandledException","17","0",,"4","0","0","4611686018427387904","24","Microsoft-Windows-Program-Compatibility-Assistant","4cb314df-c11f-47d7-9c04-65fb0051561b","Microsoft-Windows-Application-Experience/Program-Compatibility-Assistant","844","2672","LAB-109-029.esamcuberlandia.com.br","S-1-5-18","11/04/2017 09:36:14",,,"c:\users\rafae\desktop\log_win_10\logs1\microsoft-windows-application-experience%4program-compatibility-assistant.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Informa??es","Informa??es",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Exe: C:\Program Files (x86)\CodeBlocks\codeblocks.exe

ResolverName: CrashOnLaunch","17","0",,"4","0","0","4611686018427387904","23","Microsoft-Windows-Program-Compatibility-Assistant","4cb314df-c11f-47d7-9c04-65fb0051561b","Microsoft-Windows-Application-Experience/Program-Compatibility-Assistant","968","1172","LAB-109-029.esamcuberlandia.com.br","S-1-5-18","16/03/2017 22:01:03",,,"c:\users\rafae\desktop\log_win_10\logs1\microsoft-windows-application-experience%4program-compatibility-assistant.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Informa??es","Informa??es",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Exe: C:\Program Files (x86)\CodeBlocks\codeblocks.exe

ResolverName: CrashOnLaunch","17","0",,"4","0","0","4611686018427387904","22","Microsoft-Windows-Program-Compatibility-Assistant","4cb314df-c11f-47d7-9c04-65fb0051561b","Microsoft-Windows-Application-Experience/Program-Compatibility-Assistant","324","1096","LAB-109-029.esamcuberlandia.com.br","S-1-5-18","09/03/2017 21:55:54",,,"c:\users\rafae\desktop\log_win_10\logs1\microsoft-windows-application-experience%4program-compatibility-assistant.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Informa??es","Informa??es",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Exe: C:\Program Files (x86)\CodeBlocks\codeblocks.exe

ResolverName: CrashOnLaunch","17","0",,"4","0","0","4611686018427387904","21","Microsoft-Windows-Program-Compatibility-Assistant","4cb314df-c11f-47d7-9c04-65fb0051561b","Microsoft-Windows-Application-Experience/Program-Compatibility-Assistant","536","8228","LAB-109-029.esamcuberlandia.com.br","S-1-5-18","28/09/2016 21:37:46",,,"c:\users\rafae\desktop\log_win_10\logs1\microsoft-windows-application-experience%4program-compatibility-assistant.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Informa??es","Informa??es",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Exe: C:\Program Files (x86)\CodeBlocks\codeblocks.exe

ResolverName: CrashOnLaunch","17","0",,"4","0","0","4611686018427387904","20","Microsoft-Windows-Program-Compatibility-Assistant","4cb314df-c11f-47d7-9c04-65fb0051561b","Microsoft-Windows-Application-Experience/Program-Compatibility-Assistant","1092","7028","LAB-109-029.esamcuberlandia.com.br","S-1-5-18","01/04/2016 19:28:32",,,"c:\users\rafae\desktop\log_win_10\logs1\microsoft-windows-application-experience%4program-compatibility-assistant.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Informa??es","Informa??es",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
